DESTINATION,DESTINATION CODE,EFFECTIVE DATE,RATES (US$),STATUS,BILLING INCREMENT,DELETION DATE
Albania - AMC,35539361,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35539450,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35539560,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35539640,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35539690,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35539740,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35539790,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35539823,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35539850,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35539880,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,3554630,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,3554631,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,3554632,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,3554633,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35547210,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35547425,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35547550,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35547700,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35547870,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35547950,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35548270,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35548271,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35548272,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35548570,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35548660,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35548750,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35548855,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35548935,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35548936,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35549250,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35549440,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35549560,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35549730,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35549830,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35549930,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,3555114,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35551240,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35551241,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35551360,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35551361,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35551460,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35551461,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,3555263,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,3555264,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,3555370,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,3555490,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,3555491,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,3555540,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35556150,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35556240,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35556293,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35556340,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35556445,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35556465,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35556550,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35556583,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35557043,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35557070,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35557094,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35557180,07-Jun-17,0.1285,Same, 1/1,
